File,Lines,SLOC,CLOC,Funcs,Classes,object,case object,class,case class,abstract class,trait,extends,with
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/metaModel/Concept.scala,103,64,24,3,3,1,0,2,2,0,0,1,1
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/metaModel/elements/AttributeType.scala,95,50,7,1,9,7,5,2,2,0,2,6,0
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/metaModel/elements/AttributeValue.scala,43,24,6,0,6,1,0,5,5,0,2,5,0
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/metaModel/elements/MAttribute.scala,44,20,15,0,2,1,0,1,1,0,1,0,0
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/metaModel/elements/MClass.scala,155,84,49,9,3,1,0,2,2,0,1,1,1
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/metaModel/elements/Method.scala,27,16,1,0,2,1,0,1,1,0,1,0,0
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/metaModel/elements/MReference.scala,56,35,10,1,2,1,0,1,1,0,1,1,1
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/metaModel/MetaModelShortInfo.scala,29,15,6,0,2,1,0,1,1,0,0,0,0
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/model/elements/Edge.scala,50,29,9,1,2,1,0,1,1,0,1,1,1
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/model/elements/Node.scala,49,29,9,1,2,1,0,1,1,0,1,1,1
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/model/GraphicalDslInstance.scala,57,39,9,1,2,1,0,1,1,0,0,1,1
common/src/main/scala/de/htwg/zeta/common/models/modelDefinitions/model/GraphicalDslInstanceShortInfo.scala,31,16,7,0,2,1,0,1,1,0,0,0,0
common/src/main/scala/de/htwg/zeta/common/models/remote/Remote.scala,34,9,20,2,0,0,0,0,0,0,1,0,0
common/src/main/scala/de/htwg/zeta/common/models/remote/RemoteGenerator.scala,143,116,6,10,2,1,0,1,0,0,0,1,0
common/src/main/scala/de/htwg/zeta/common/models/worker/Job.scala,246,163,26,20,10,1,0,9,9,0,1,9,0
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/common/ClusterListener.scala,39,30,0,2,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/DeveloperManager.scala,40,29,5,3,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/manager/BondedTasksManager.scala,91,73,5,5,3,1,0,2,1,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/manager/EventDrivenTasksManager.scala,76,63,0,5,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/manager/FiltersManager.scala,47,37,1,3,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/manager/GeneratorConnectionManager.scala,71,59,5,5,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/manager/GeneratorManager.scala,46,37,0,3,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/manager/GeneratorRequestManager.scala,56,45,1,3,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/manager/ManualExecutionManager.scala,68,53,2,4,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/manager/ModelReleaseManager.scala,20,15,0,2,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/manager/TimedTasksManager.scala,90,75,2,6,3,1,0,2,1,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/Mediator.scala,224,188,11,15,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/WorkQueue.scala,236,189,17,19,6,4,3,2,1,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/developer/WorkState.scala,120,91,13,18,7,1,0,6,6,0,1,5,0
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/frontend/DeveloperDummy.scala,58,42,3,4,3,2,1,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/frontend/DeveloperFrontend.scala,77,57,4,7,4,2,1,2,1,0,0,3,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/frontend/GeneratorFrontend.scala,68,50,4,5,4,2,1,2,1,0,0,3,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/frontend/UserFrontend.scala,68,50,4,5,4,2,1,2,1,0,0,3,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/frontendManager/FrontendManager.scala,82,56,8,5,7,3,2,4,3,0,3,5,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/image/ImageManager.scala,28,20,0,2,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/master/Master.scala,284,192,50,18,7,4,3,3,2,0,1,3,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/master/WorkState.scala,81,67,1,9,10,1,0,9,8,0,0,6,0
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/worker/DockerWorkExecutor.scala,313,255,14,18,3,1,0,2,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/worker/DummyWorkerExecutor.scala,21,17,0,2,2,1,0,1,0,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/worker/MasterWorkerProtocol.scala,45,31,5,0,13,2,1,11,11,0,6,14,0
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/actors/worker/Worker.scala,126,104,3,9,4,2,0,2,1,0,0,1,1
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/Main.scala,44,14,0,0,1,1,0,0,0,0,0,1,0
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/start/Commands.scala,20,15,2,0,1,0,0,1,0,0,0,1,0
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/start/DeveloperStarter.scala,62,46,2,2,3,1,0,2,1,0,0,1,0
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/start/DummyStarter.scala,47,33,2,2,3,1,0,2,1,0,0,1,0
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/start/MasterStarter.scala,97,69,10,4,3,1,0,2,1,0,0,1,0
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/start/Starter.scala,62,46,5,3,1,1,0,0,0,0,1,1,0
generatorControl/src/main/scala/de/htwg/zeta/generatorControl/start/WorkersStarter.scala,54,35,5,3,3,1,0,2,1,0,0,1,0
images/filter/src/main/scala/de/htwg/zeta/filter/BaseFilter.scala,8,5,0,1,0,0,0,0,0,0,1,0,0
images/filter/src/main/scala/de/htwg/zeta/filter/Main.scala,138,109,3,5,2,1,0,1,0,0,0,2,0
images/generator/src/main/scala/de/htwg/zeta/generator/CreateOptions.scala,40,19,12,0,6,3,0,3,3,0,0,0,0
images/generator/src/main/scala/de/htwg/zeta/generator/Main.scala,145,103,29,7,1,1,0,0,0,0,0,1,0
images/generator/src/main/scala/de/htwg/zeta/generator/Settings.scala,9,4,3,0,1,1,0,0,0,0,0,0,0
images/generator/src/main/scala/de/htwg/zeta/generator/Template.scala,303,230,45,13,2,0,0,2,0,1,0,2,0
images/generator/src/main/scala/de/htwg/zeta/generator/Transformer.scala,34,21,3,4,3,0,0,3,3,0,2,3,0
images/metaModelRelease/src/main/scala/de/htwg/zeta/metamodelrelease/Main.scala,77,57,7,0,2,1,0,1,0,0,0,2,0
persistence/src/main/scala/de/htwg/zeta/persistence/accessRestricted/AccessRestrictedEntityPersistence.scala,97,74,7,7,4,0,0,4,0,1,0,3,0
persistence/src/main/scala/de/htwg/zeta/persistence/accessRestricted/AccessRestrictedFilePersistence.scala,74,55,5,7,1,0,0,1,0,0,0,0,0
persistence/src/main/scala/de/htwg/zeta/persistence/actorCache/ActorCacheEntityRepository.scala,244,211,3,6,15,0,0,15,0,1,0,15,14
