File,Lines,SLOC,CLOC,Funcs,Classes,object,case object,class,case class,abstract class,trait,extends,with
common/src/main/scala/models/modelDefinitions/metaModel/elements/MCoreWrites.scala,117,101,3,8,1,1,0,0,0,0,0,0,0
common/src/main/scala/models/modelDefinitions/metaModel/MetaModel.scala,111,64,36,9,2,1,0,1,1,0,0,0,0
common/src/main/scala/models/modelDefinitions/metaModel/MetaModelEntity.scala,115,75,25,3,4,2,0,2,2,0,0,0,0
common/src/main/scala/models/modelDefinitions/model/elements/MCoreInstance.scala,140,75,42,8,7,2,0,5,3,0,3,4,2
common/src/main/scala/models/modelDefinitions/model/elements/ModelReads.scala,272,216,12,28,1,2,0,0,0,0,1,0,0
common/src/main/scala/models/modelDefinitions/model/elements/ModelWrites.scala,70,54,3,6,1,1,0,0,0,0,0,0,0
common/src/main/scala/models/modelDefinitions/model/Model.scala,86,38,34,3,2,1,0,1,1,0,0,0,0
common/src/main/scala/models/modelDefinitions/model/ModelEntity.scala,136,95,26,6,4,2,0,2,2,0,0,0,0
common/src/main/scala/models/remote/Remote.scala,31,7,20,2,0,0,0,0,0,0,1,0,0
common/src/main/scala/models/remote/RemoteGenerator.scala,113,90,6,7,2,1,0,1,0,0,0,1,0
common/src/main/scala/models/session/DummySession.scala,16,8,3,3,1,0,0,1,0,0,0,1,0
common/src/main/scala/models/session/Session.scala,14,8,3,3,0,0,0,0,0,0,1,0,0
common/src/main/scala/models/session/SyncGatewayAccount.scala,57,30,15,3,4,2,0,2,1,0,0,0,0
common/src/main/scala/models/session/SyncGatewaySession.scala,82,48,21,4,2,1,0,1,0,0,0,1,0
common/src/main/scala/models/User.scala,58,29,22,3,2,1,0,1,1,0,0,1,0
common/src/main/scala/models/worker/Job.scala,179,107,25,18,10,1,0,9,9,0,1,9,0
images/filter/scala/src/main/scala/filter/filter.scala,7,5,0,1,0,0,0,0,0,0,1,0,0
images/filter/scala/src/main/scala/Main.scala,119,94,0,4,2,1,0,1,0,0,0,2,0
images/generator/basic/src/main/scala/Main.scala,86,29,21,6,1,1,0,0,0,0,0,1,0
images/generator/basic/src/main/scala/Options.scala,13,5,6,0,2,1,0,1,1,0,0,0,0
images/generator/file/src/main/scala/Main.scala,125,57,21,9,2,1,0,1,0,0,0,2,0
images/generator/file/src/main/scala/Options.scala,13,5,6,0,2,1,0,1,1,0,0,0,0
images/generator/remote/src/main/scala/Main.scala,119,74,22,11,2,1,0,1,1,0,0,2,0
images/generator/remote/src/main/scala/Options.scala,35,15,12,0,6,3,0,3,3,0,0,0,0
images/generator/specific/src/main/scala/Main.scala,146,54,30,12,1,1,0,0,0,0,0,1,0
images/generator/specific/src/main/scala/Options.scala,13,5,6,0,2,1,0,1,1,0,0,0,0
images/generator/template/src/main/scala/generator/Transformer.scala,28,18,3,4,3,0,0,3,3,0,2,3,0
images/generator/template/src/main/scala/Settings.scala,6,3,3,0,1,1,0,0,0,0,0,0,0
images/generator/template/src/main/scala/Template.scala,268,189,54,12,2,0,0,2,0,1,0,2,0
images/metamodel/release/src/main/scala/Main.scala,66,52,0,1,2,1,0,1,0,0,0,2,0
server/app/controllers/ActivateAccountController.scala,87,56,22,2,1,0,0,1,0,0,0,1,1
server/app/controllers/ApplicationController.scala,57,27,23,3,1,0,0,1,0,0,0,1,1
server/app/controllers/BackendController.scala,90,64,15,4,1,0,0,1,0,0,0,1,0
server/app/controllers/ChangePasswordController.scala,74,46,21,2,1,0,0,1,0,0,0,1,1
server/app/controllers/CodeEditorController.scala,40,32,0,2,1,0,0,1,0,0,0,1,0
server/app/controllers/DynamicFileController.scala,18,14,0,1,1,0,0,1,0,0,0,1,0
server/app/controllers/ForgotPasswordController.scala,80,49,23,2,1,0,0,1,0,0,0,1,1
server/app/controllers/GeneratorController.scala,66,53,1,2,1,0,0,1,0,0,0,1,0
server/app/controllers/MetaModelController.scala,52,34,8,3,1,0,0,1,0,0,0,1,1
server/app/controllers/ModelController.scala,56,45,0,5,1,0,0,1,0,0,0,1,0
server/app/controllers/ResetPasswordController.scala,78,48,23,2,1,0,0,1,0,0,0,1,1
server/app/controllers/restApi/MetaModelRestApi.scala,270,216,22,19,1,0,0,1,0,0,0,1,0
server/app/controllers/restApi/ModelRestApi.scala,187,152,15,13,1,0,0,1,0,0,0,1,0
server/app/controllers/SignInController.scala,101,71,23,2,1,0,0,1,0,0,0,1,1
server/app/controllers/SignUpController.scala,115,83,23,2,1,0,0,1,0,0,0,1,1
server/app/controllers/SocialAuthController.scala,68,46,16,1,1,0,0,1,0,0,0,1,2
server/app/controllers/webpage/WebpageController.scala,91,73,1,5,1,0,0,1,0,0,0,1,0
server/app/CustomApplicationLoader.scala,40,25,8,2,2,1,0,1,0,0,0,1,0
server/app/forms/ChangePasswordForm.scala,19,9,6,0,1,1,0,0,0,0,0,0,0
server/app/forms/ForgotPasswordForm.scala,18,8,6,0,1,1,0,0,0,0,0,0,0
server/app/forms/ResetPasswordForm.scala,18,8,6,0,1,1,0,0,0,0,0,0,0
server/app/forms/SignInForm.scala,35,17,13,0,2,1,0,1,1,0,0,0,0
server/app/forms/SignUpForm.scala,38,19,14,0,2,1,0,1,1,0,0,0,0
server/app/generator/generators/diagram/DiagramGenerator.scala,27,16,6,1,1,1,0,0,0,0,0,0,0
server/app/generator/generators/diagram/LinkhelperGenerator.scala,62,24,3,6,1,1,0,0,0,0,0,0,0
server/app/generator/generators/diagram/StencilGenerator.scala,161,93,3,12,1,1,0,0,0,0,0,0,0
server/app/generator/generators/diagram/ValidatorGenerator.scala,276,147,13,19,1,1,0,0,0,0,0,0,0
server/app/generator/generators/shape/GeneratorConnectionDefinition.scala,400,196,9,32,1,1,0,0,0,0,0,0,0
server/app/generator/generators/shape/GeneratorInspectorDefinition.scala,241,78,1,13,1,1,0,0,0,0,0,0,0
server/app/generator/generators/shape/GeneratorShapeAndInlineStyle.scala,150,101,5,11,1,1,0,0,0,0,0,0,0
server/app/generator/generators/shape/GeneratorShapeDefinition.scala,659,480,10,77,1,1,0,0,0,0,0,0,0
server/app/generator/generators/shape/ShapeGenerator.scala,46,24,9,1,1,1,0,0,0,0,0,0,0
server/app/generator/generators/style/StyleGenerator.scala,226,110,17,17,1,1,0,0,0,0,0,0,0
server/app/generator/generators/vr/diagram/VrDiagramGenerator.scala,39,27,4,2,1,1,0,0,0,0,0,0,0
server/app/generator/generators/vr/diagram/VrGeneratorConnectBehavior.scala,80,18,3,3,1,1,0,0,0,0,0,0,0
server/app/generator/generators/vr/diagram/VrGeneratorNewBehavior.scala,53,11,3,2,1,1,0,0,0,0,0,0,0
server/app/generator/generators/vr/diagram/VrGeneratorSaveBehavior.scala,360,59,3,11,1,1,0,0,0,0,0,0,0
server/app/generator/generators/vr/diagram/VrGeneratorScene.scala,74,10,3,1,1,1,0,0,0,0,0,0,0
server/app/generator/generators/vr/shape/VrGeneratorConnectionDefinition.scala,109,59,3,9,1,1,0,0,0,0,0,0,0
server/app/generator/generators/vr/shape/VrGeneratorShapeDefinition.scala,199,87,6,10,1,1,0,0,0,0,0,1,0
server/app/generator/generators/vr/shape/VrShapeGenerator.scala,23,11,6,1,1,1,0,0,0,0,0,0,0
server/app/generator/model/ClassHierarchy.scala,94,69,15,17,3,1,0,2,1,0,0,0,0
server/app/generator/model/diagram/action/Action.scala,9,6,0,2,2,1,0,1,0,0,0,0,0
server/app/generator/model/diagram/action/ActionGroup.scala,18,11,4,2,2,1,0,1,0,0,0,0,0
server/app/generator/model/diagram/action/ActionInclude.scala,13,8,0,2,2,1,0,1,0,0,0,0,0
server/app/generator/model/diagram/action/Actions.scala,11,5,4,0,0,0,0,0,0,0,1,0,0
server/app/generator/model/diagram/Diagram.scala,28,20,4,1,2,1,0,1,0,0,0,1,0
server/app/generator/model/diagram/edge/Connection.scala,24,17,4,0,1,0,0,1,0,0,0,0,0
server/app/generator/model/diagram/edge/Edge.scala,29,21,5,0,1,0,0,1,1,0,0,1,1
server/app/generator/model/diagram/methodes/Methode.scala,18,11,3,0,1,0,0,1,1,0,1,0,0
server/app/generator/model/diagram/methodes/Methodes.scala,11,6,3,0,0,0,0,0,0,0,1,0,0
server/app/generator/model/diagram/methodes/OnCreate.scala,14,8,3,0,1,0,0,1,1,0,0,1,0
server/app/generator/model/diagram/methodes/OnDelete.scala,9,3,3,0,1,0,0,1,1,0,0,1,0
server/app/generator/model/diagram/methodes/OnUpdate.scala,7,2,3,0,1,0,0,1,1,0,0,1,0
server/app/generator/model/diagram/node/DiaShape.scala,41,29,6,1,1,0,0,1,0,0,0,0,0
server/app/generator/model/diagram/node/Node.scala,28,19,5,0,1,0,0,1,1,0,0,1,1
server/app/generator/model/diagram/traits/Container.scala,9,4,3,0,0,0,0,0,0,0,1,0,0
server/app/generator/model/diagram/traits/Palette.scala,9,4,3,0,0,0,0,0,0,0,1,0,0
server/app/generator/model/shapecontainer/connection/Connection.scala,73,52,12,2,5,3,2,2,0,0,0,4,0
server/app/generator/model/shapecontainer/connection/Placing.scala,39,26,5,4,2,1,0,1,0,0,0,1,0
server/app/generator/model/shapecontainer/connection/shapeconnections/CDEllipse.scala,15,8,4,0,1,0,0,1,0,0,0,1,0
server/app/generator/model/shapecontainer/connection/shapeconnections/CDLine.scala,15,8,3,0,1,0,0,1,0,0,0,1,1
server/app/generator/model/shapecontainer/connection/shapeconnections/CDPolygon.scala,16,9,4,0,1,0,0,1,0,0,0,1,0
server/app/generator/model/shapecontainer/connection/shapeconnections/CDPolyLine.scala,19,13,3,0,1,0,0,1,0,0,0,1,1
server/app/generator/model/shapecontainer/connection/shapeconnections/CDRectangle.scala,15,9,3,0,1,0,0,1,0,0,0,1,1
